,Funding Entites,counts
0,ACC,1
1,AHA,1
2,ANR,1
3,ANR‐11‐IDEX‐0005‐02,1
4,ASH,1
5,Agence Nationale de la Recherche,1
6,Albert Einstein College of Medicine,1
7,American Association for Dental,1
8,American Heart Association,1
9,American Society of Hematology,3
10,BID,1
11,BP 6006,1
12,Bayer,1
13,Biomedical Laboratory Research and Development,1
14,Blood Transfusion Research,1
15,Brandan’s Eye Research Foundation,1
16,British Society for Haematology,2
17,C06RR016511,1
18,CAPES,2
19,CDC,1
20,CU,1
21,Campus France,1
22,Canada Research Chairs,1
23,Canadian Institutes of Health Research,2
24,Center for Outcomes Research and Evaluation,1
25,Centers for Disease Control and Prevention,1
26,Centro de Investigaciones Energéticas,1
27,Colgate-Palmolive Company,1
28,Consejo Nacional de Investigaciones Científicas,1
29,Conselho Nacional de Desenvolvimento Científico,4
30,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,1
31,Craniofacial Research,1
32,DDCF,5
33,De La Salle University,1
34,Department of Science and Technology,1
35,Deutsche Forschungsgemeinschaft,1
36,Doris Duke Charitable Foundation,6
37,EY01765,2
38,EYEY001765,1
39,Estado de Minas Gerais,1
40,FFB,3
41,FFS,1
42,FIC,1
43,FIOCRUZ,1
44,FNIH,1
45,FUNTTEL,1
46,Fogarty International Center,1
47,Fondation,2
48,Fondazione Città,2
49,Fondo,2
50,Fundação de Amparo à Pesquisa,7
51,Future Planning,1
52,G0000111,1
53,GHF,1
54,Genentech,4
55,Georgia Regents University,1
56,Gilead Sciences,1
57,Grant Healthcare Foundation,1
58,HHS,1
59,HOF,1
60,Health Services Research and Development,1
61,Heed Ophthalmic Foundation,1
62,Horizon 2020 Framework Programme,2
63,ICT,1
64,Icahn School of Medicine,1
65,Institut National de la Santé et de la Recherche Médicale,3
66,Instituto Nacional de Ciência e Tecnologia de Estudos,1
67,Janssen Pharmaceuticals,1
68,Jilin University,1
69,Johns Hopkins University,1
70,K08-EY021189,1
71,K23-EY022947-01A1,1
72,K23HL119627,1
73,LSBR,1
74,Landsteiner Foundation,1
75,MRC,1
76,MU,1
77,Macula Foundation,1
78,Marrus Family Foundation,3
79,Massachusetts Lions Eye Research Fund,1
80,Medical Research Council,5
81,Medioambientales y Tecnológicas,1
82,Milbank Foundation,1
83,Ministry of Science,1
84,Ministry of Science and Technology,1
85,Moorfields Eye Hospital NHS Foundation Trust,2
86,NCI,3
87,NEI,6
88,NIDDK,4
89,NIH,47
90,NIHR,1
91,NIHR Bristol Biomedical Research Centre,1
92,NPC,3
93,NSF,3
94,NWO,1
95,National Cancer Institute,3
96,National Center for Advancing Translational Sciences,5
97,National Center for Research Resources,2
98,National Eye Institute,65
99,"National Heart,Lung and Blood Institute",145
100,National Institute for Health Research,1
101,National Institute for Health Research Biomedical Research Centre,1
102,National Institute for Health and Care Research,1
103,National Institute of Diabetes and,5
104,National Institute of General Medical Sciences,2
105,National Institute of Neurological Disorders and Stroke,2
106,National Institutes of Health,49
107,National Research Foundation,2
108,National Science Foundation,3
109,New York Eye,1
110,NorthShore University HealthSystem,1
111,Novartis Pharmaceuticals Corporation,3
112,OC-AR PICT N,1
113,ORD,2
114,Office of Research and Development,2
115,P01HL055552,2
116,P20GM103446,1
117,P30CA008748,1
118,P30EY001765,14
119,PHS,1
120,Pfizer,2
121,R00NS060764,1
122,R01 EY023522 R01,1
123,R01EY009357,2
124,R01EY011766,1
125,R01EY024969,2
126,R01EY030101,1
127,R01HL068922,2
128,R01HL070215,1
129,R01HL111659,2
130,RBC,1
131,RBF,1
132,RPB,27
133,RTI,1
134,Regeneron Pharmaceuticals,1
135,Research Triangle Institute,1
136,Research to Prevent Blindness,1
137,Rockefeller Brothers Fund,1
138,Royal Bank of Canada,1
139,SECYT,1
140,U.S. Department,2
141,U.S. Department of Defense,2
142,U.S. Department of Health and Human Services,1
143,U.S. Public Health Service,7
144,U01EY025477,1
145,UCL Institute of Ophthalmology,1
146,UIC,1
147,UL1TR001873,2
148,UNC,1
149,USPHS,7
150,Universidad de Buenos Aires,1
151,University of Colorado,1
152,University of Illinois,1
153,University of Illinois at Chicago,1
154,University of Missouri,1
155,Veterans Affairs,2
156,Victoria University,1
157,VitreoRetinal Surgery Foundation,1
158,WT,4
159,Wellcome Trust,7
160,Yale School of Medicine,1
161,Yale University,1
162,Yeshiva University,1
163,Z01DK075008,1
164,de Pessoal de N&#x00ED;vel Superior,1
165,the National Institutes of Health,2
