,countries,Funding Entities,Times Funded
0,,DDCF,1
1,,Doris Duke Charitable Foundation,1
2,,NIH,2
3,,National Center for Advancing Translational Sciences,1
4,,National Eye Institute,1
5,,"National Heart,Lung and Blood Institute",4
6,,National Institutes of Health,2
7,,RPB,1
8,,U.S. Department of Defense,1
9,Argentina,ACC,1
10,Argentina,BID,1
11,Argentina,Centro de Investigaciones Energéticas,1
12,Argentina,Consejo Nacional de Investigaciones Científicas,1
13,Argentina,FFB,1
14,Argentina,Fondo,2
15,Argentina,Medioambientales y Tecnológicas,1
16,Argentina,NIH,1
17,Argentina,National Eye Institute,1
18,Argentina,National Institutes of Health,1
19,Argentina,OC-AR PICT N,1
20,Argentina,P30EY001765,1
21,Argentina,R01EY009357,1
22,Argentina,RPB,1
23,Argentina,SECYT,1
24,Argentina,UNC,1
25,Argentina,Universidad de Buenos Aires,1
26,Australia,Victoria University,1
27,Brazil,CAPES,2
28,Brazil,Conselho Nacional de Desenvolvimento Científico,4
29,Brazil,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,1
30,Brazil,Estado de Minas Gerais,1
31,Brazil,FIOCRUZ,1
32,Brazil,FUNTTEL,1
33,Brazil,Fundação de Amparo à Pesquisa,7
34,Brazil,G0000111,1
35,Brazil,Instituto Nacional de Ciência e Tecnologia de Estudos,1
36,Brazil,Johns Hopkins University,1
37,Brazil,Massachusetts Lions Eye Research Fund,1
38,Brazil,Medical Research Council,1
39,Brazil,"National Heart,Lung and Blood Institute",2
40,Brazil,RTI,1
41,Brazil,Research Triangle Institute,1
42,Brazil,de Pessoal de N&#x00ED;vel Superior,1
43,Canada,Brandan’s Eye Research Foundation,2
44,Canada,Canada Research Chairs,1
45,Canada,Canadian Institutes of Health Research,2
46,Canada,DDCF,2
47,Canada,Doris Duke Charitable Foundation,2
48,Canada,Icahn School of Medicine,1
49,Canada,NIH,2
50,Canada,NPC,1
51,Canada,"National Heart,Lung and Blood Institute",4
52,Canada,National Institutes of Health,2
53,Canada,Novartis Pharmaceuticals Corporation,1
54,Canada,R01HL068922,2
55,China,CU,1
56,China,Jilin University,1
57,China,NCI,1
58,China,NIH,1
59,China,NSF,1
60,China,National Cancer Institute,1
61,China,National Eye Institute,1
62,China,National Institutes of Health,1
63,China,National Science Foundation,1
64,China,P30EY001765,1
65,China,RPB,1
66,China,University of Colorado,1
67,Denmark,Medical Research Council,1
68,France,ANR,1
69,France,ANR‐11‐IDEX‐0005‐02,1
70,France,Agence Nationale de la Recherche,1
71,France,CAPES,1
72,France,Campus France,1
73,France,Canada Research Chairs,1
74,France,Canadian Institutes of Health Research,2
75,France,DDCF,2
76,France,Doris Duke Charitable Foundation,2
77,France,Fondation,2
78,France,Horizon 2020 Framework Programme,1
79,France,Icahn School of Medicine,1
80,France,Institut National de la Santé et de la Recherche Médicale,2
81,France,K23HL119627,1
82,France,NIH,2
83,France,"National Heart,Lung and Blood Institute",6
84,France,National Institutes of Health,2
85,France,R01HL068922,2
86,France,de Pessoal de N&#x00ED;vel Superior,1
87,French Guiana,BP 6006,1
88,French Guiana,Institut National de la Santé et de la Recherche Médicale,1
89,Georgia,AHA,1
90,Georgia,American Heart Association,1
91,Georgia,Biomedical Laboratory Research and Development,1
92,Georgia,Georgia Regents University,1
93,Georgia,Health Services Research and Development,1
94,Georgia,NIDDK,1
95,Georgia,National Eye Institute,4
96,Georgia,"National Heart,Lung and Blood Institute",4
97,Georgia,National Institute of Diabetes and,1
98,Georgia,ORD,2
99,Georgia,Office of Research and Development,2
100,Georgia,R01EY011766,1
101,Georgia,R01HL070215,1
102,Georgia,RBC,1
103,Georgia,Royal Bank of Canada,1
104,Georgia,U.S. Department,1
105,Georgia,Veterans Affairs,1
106,Germany,Moorfields Eye Hospital NHS Foundation Trust,1
107,Ghana,"National Heart,Lung and Blood Institute",2
108,Guadeloupe,K23HL119627,1
109,Guadeloupe,"National Heart,Lung and Blood Institute",2
110,Hong Kong,Brandan’s Eye Research Foundation,1
111,India,Department of Science and Technology,1
112,India,Ministry of Science and Technology,1
113,India,NIH,1
114,India,NPC,1
115,India,"National Heart,Lung and Blood Institute",2
116,India,National Institutes of Health,1
117,India,Novartis Pharmaceuticals Corporation,1
118,Italy,CAPES,1
119,Italy,Fondazione Città,2
120,Italy,Genentech,1
121,Italy,National Eye Institute,1
122,Italy,de Pessoal de N&#x00ED;vel Superior,1
123,Jamaica,NEI,1
124,Jamaica,NIH,4
125,Jamaica,National Eye Institute,2
126,Jamaica,"National Heart,Lung and Blood Institute",18
127,Jamaica,National Institutes of Health,4
128,Jamaica,RPB,1
129,Jamaica,WT,4
