,Year,Source title,Period,counts
0,2023,American Journal of Ophthalmology Case Reports,2014 - 2023,1
1,2023,European Journal of Haematology,2014 - 2023,1
2,2023,International Journal of Environmental Research and Public Health,2014 - 2023,1
3,2023,Genes,2014 - 2023,1
4,2023,Eye (Basingstoke),2014 - 2023,1
5,2023,Frontiers in Medicine,2014 - 2023,1
6,2023,Frontiers in Genetics,2014 - 2023,1
7,2023,Case Reports in Ophthalmology,2014 - 2023,1
8,2023,Graefe's Archive for Clinical and Experimental Ophthalmology,2014 - 2023,1
9,2023,Experimental Biology and Medicine,2014 - 2023,1
10,2023,Indian Journal of Medical Research,2014 - 2023,1
11,2023,Frontiers in Medicine,2014 - 2023,1
12,2023,Retinal Cases and Brief Reports,2014 - 2023,1
13,2023,Pathology Research and Practice,2014 - 2023,1
14,2023,Journal of Pediatric Hematology/Oncology,2014 - 2023,1
15,2022,Cochrane Database of Systematic Reviews,2014 - 2023,1
16,2022,Bahrain Medical Bulletin,2014 - 2023,1
17,2022,High Altitude Medicine and Biology,2014 - 2023,1
18,2022,Life,2014 - 2023,1
19,2022,Hematology/Oncology Clinics of North America,2014 - 2023,1
20,2022,International Journal of Retina and Vitreous,2014 - 2023,1
21,2022,Proceedings of the National Academy of Sciences of the United States of America,2014 - 2023,1
22,2022,European Journal of Ophthalmology,2014 - 2023,1
23,2022,Frontiers in Cardiovascular Medicine,2014 - 2023,1
24,2022,Journal of Women's Health,2014 - 2023,1
25,2022,Pharmacological Reviews,2014 - 2023,1
26,2022,British Journal of Haematology,2014 - 2023,1
27,2022,Deutsche Medizinische Wochenschrift,2014 - 2023,1
28,2022,Blood Advances,2014 - 2023,1
29,2022,PLoS ONE,2014 - 2023,1
30,2022,Retinal Cases and Brief Reports,2014 - 2023,1
31,2022,Journal Francais d'Ophtalmologie,2014 - 2023,1
32,2022,Eye (Basingstoke),2014 - 2023,1
33,2022,American Journal of Medicine,2014 - 2023,1
34,2022,Canadian Journal of Ophthalmology,2014 - 2023,1
35,2022,JAMA,2014 - 2023,1
36,2022,"Revista Cubana de Hematologia, Inmunologia y Hemoterapia",2014 - 2023,1
37,2022,Retinal Cases and Brief Reports,2014 - 2023,1
38,2022,Annals of Medicine and Surgery,2014 - 2023,1
39,2022,Journal Francais d'Ophtalmologie,2014 - 2023,1
40,2022,American Journal of Ophthalmology Case Reports,2014 - 2023,1
41,2022,Eye (Basingstoke),2014 - 2023,1
42,2022,Journal of VitreoRetinal Diseases,2014 - 2023,1
43,2022,New England Journal of Medicine,2014 - 2023,1
44,2022,American Journal of Ophthalmology,2014 - 2023,1
45,2022,American Journal of Ophthalmology Case Reports,2014 - 2023,1
46,2022,Seminars in Thrombosis and Hemostasis,2014 - 2023,1
47,2022,Experimental Biology and Medicine,2014 - 2023,1
48,2022,Acta Haematologica,2014 - 2023,1
49,2022,BMJ Open Ophthalmology,2014 - 2023,1
50,2022,Journal of Clinical Medicine,2014 - 2023,1
51,2022,British Journal of Ophthalmology,2014 - 2023,1
52,2022,Albert and Jakobiec's Principles and Practice of Ophthalmology: Fourth Edition,2014 - 2023,1
53,2022,Albert and Jakobiec's Principles and Practice of Ophthalmology: Fourth Edition,2014 - 2023,1
54,2022,Albert and Jakobiec's Principles and Practice of Ophthalmology: Fourth Edition,2014 - 2023,1
55,2022,Ocular Immunology and Inflammation,2014 - 2023,1
56,2022,ASN Neuro,2014 - 2023,1
57,2022,International Journal of Clinical Practice,2014 - 2023,1
58,2022,Pediatric Annals,2014 - 2023,1
59,2022,International Journal of Hematology,2014 - 2023,1
60,2021,Medicine (United States),2014 - 2023,1
61,2021,Genes,2014 - 2023,1
62,2021,International Journal of Clinical Practice,2014 - 2023,1
63,2021,BMC Pulmonary Medicine,2014 - 2023,1
64,2021,Blood,2014 - 2023,1
65,2021,Indian journal of ophthalmology,2014 - 2023,1
66,2021,Ophthalmic Surgery Lasers and Imaging Retina,2014 - 2023,1
67,2021,Stem Cells Translational Medicine,2014 - 2023,1
68,2021,Biomedical Physics and Engineering Express,2014 - 2023,1
69,2021,Frontiers in Medicine,2014 - 2023,1
70,2021,QJM,2014 - 2023,1
71,2021,Annals of African Medicine,2014 - 2023,1
72,2021,Journal Francais d'Ophtalmologie,2014 - 2023,1
73,2021,Eye (Basingstoke),2014 - 2023,1
74,2021,Ophthalmologe,2014 - 2023,1
75,2021,Frontiers in Physiology,2014 - 2023,1
76,2021,Journal of VitreoRetinal Diseases,2014 - 2023,1
77,2021,European Journal of Ophthalmology,2014 - 2023,1
78,2021,Advances in Ophthalmology and Optometry,2014 - 2023,1
79,2021,Clinical Journal of Pain,2014 - 2023,1
80,2021,British Journal of Ophthalmology,2014 - 2023,1
81,2021,Ophthalmology Retina,2014 - 2023,1
82,2021,Haematologica,2014 - 2023,1
83,2021,"Retina (Philadelphia, Pa.)",2014 - 2023,1
84,2021,Pediatric Blood and Cancer,2014 - 2023,1
85,2021,Ophthalmology Retina,2014 - 2023,1
86,2021,Journal of Clinical Investigation,2014 - 2023,1
87,2021,Ophthalmologica,2014 - 2023,1
88,2021,Cells,2014 - 2023,1
89,2021,American Journal of Ophthalmology,2014 - 2023,1
90,2021,Journal of Stroke and Cerebrovascular Diseases,2014 - 2023,1
91,2021,Journal of the National Medical Association,2014 - 2023,1
92,2021,JAMA Ophthalmology,2014 - 2023,1
93,2021,JAMA Ophthalmology,2014 - 2023,1
94,2021,JAMA Ophthalmology,2014 - 2023,1
